"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 17 10:08:04 EST 2021","Wed Feb 17 10:08:05 EST 2021","80","","API Test Automation: An API Sample Scenario","","API Test Automation: An API Sample Scenario","Then I should be able to get a list of posts","Then I should be able to get a list of posts",""
"passed","Wed Feb 17 10:08:05 EST 2021","Wed Feb 17 10:08:05 EST 2021","1","","API Test Automation: An API Sample Scenario","","API Test Automation: An API Sample Scenario","Hook","Hook",""
"passed","Wed Feb 17 10:08:04 EST 2021","Wed Feb 17 10:08:04 EST 2021","2","","API Test Automation: An API Sample Scenario","","API Test Automation: An API Sample Scenario","Given I have the api ready for a get request","Given I have the api ready for a get request",""
"passed","Wed Feb 17 10:08:04 EST 2021","Wed Feb 17 10:08:04 EST 2021","139","","API Test Automation: An API Sample Scenario","","API Test Automation: An API Sample Scenario","When I hit the get ""posts"" endpoint","When I hit the get ""posts"" endpoint",""
"passed","Wed Feb 17 10:08:05 EST 2021","Wed Feb 17 10:08:09 EST 2021","3254","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","Given I'm on the google homepage","Given I'm on the google homepage",""
"passed","Wed Feb 17 10:08:12 EST 2021","Wed Feb 17 10:08:12 EST 2021","22","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","Then I should be navigated to the search result page","Then I should be navigated to the search result page",""
"passed","Wed Feb 17 10:08:12 EST 2021","Wed Feb 17 10:08:12 EST 2021","1","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","Hook","Hook",""
"passed","Wed Feb 17 10:08:06 EST 2021","Wed Feb 17 10:08:11 EST 2021","4608","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","When I search for ""apple""","When I search for ""apple""",""
"passed","Wed Feb 17 10:08:09 EST 2021","Wed Feb 17 10:08:12 EST 2021","2931","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","When I search for ""orange""","When I search for ""orange""",""
"passed","Wed Feb 17 10:08:06 EST 2021","Wed Feb 17 10:08:09 EST 2021","2422","","UI Test Automation: A UI Sample Scenario","","UI Test Automation: A UI Sample Scenario","When I search for ""banana""","When I search for ""banana""",""
